# Rime user dictionary
#@/db_name	luna_pinyin_extend
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	527
#@/user_id	MatebookE
kan le 	砍了	c=1 d=1 t=323
kao 	考	c=3 d=1.57304 t=491
kao wan 	考完	c=2 d=1.96561 t=475
ke 	可	c=2 d=1.41478 t=361
ke neng 	可能	c=3 d=2.2667 t=304
ke ting 	客廳	c=1 d=1 t=143
ke yi 	可以	c=2 d=1.74453 t=386
la 	啦	c=1 d=1 t=251
lai de 	來的	c=1 d=1 t=30
lao lao 	姥姥	c=1 d=1 t=451
le 	了	c=15 d=6.44887 t=472
leng jing 	冷靜	c=1 d=1 t=136
li jie 	理解	c=1 d=1 t=206
liang 	晾	c=1 d=1 t=131
liang ge 	兩個	c=1 d=1 t=159
liao 	聊	c=1 d=1 t=279
liu 	留	c=1 d=1 t=273
liu yue 	六月	c=0 d=0.1 t=489
liu yue di 	六月底	c=1 d=1 t=490
liu zhan 	柳湛	c=1 d=1 t=401
ma 	嗎	c=1 d=1 t=34
ma 	嘛	c=5 d=3.05417 t=352
ma 	媽	c=0 d=0.1 t=140
ma mi 	媽咪	c=1 d=1 t=45
mei 	每	c=1 d=1 t=485
mei ban fa 	沒辦法	c=0 d=0.1 t=86
mei gei wo 	沒給我	c=1 d=1 t=127
mei guan xi 	沒關係	c=1 d=1 t=71
mei shi 	沒事	c=3 d=2.8429 t=53
miao 	秒	c=1 d=1 t=269
mo gai 	魔改	c=1 d=1 t=391
na 	哪	c=4 d=1.86959 t=458
na 	那	c=2 d=1.54064 t=238
na jiao 	那叫	c=1 d=1 t=235
na le 	哪了	c=1 d=1 t=195
na shi 	那是	c=2 d=1.36604 t=465
na you 	哪有	c=1 d=1 t=196
nai cha 	奶茶	c=2 d=1.99501 t=502
nan de 	男的	c=1 d=1 t=73
ne 	呢	c=1 d=1 t=90
neng bu neng 	能不能	c=1 d=1 t=200
ni 	你	c=6 d=2.58921 t=396
ni 	妳	c=-1 d=0 t=117
ni da gai 	你大概	c=1 d=1 t=397
ni de 	你的	c=2 d=1.30575 t=375
ni hao 	你好	c=2 d=1.97531 t=19
ni jia wo 	你加我	c=1 d=1 t=267
ni kan 	你看	c=1 d=1 t=55
ni ke yi 	你可以	c=1 d=1 t=480
ni wen 	你問	c=0 d=0.1 t=71
ni wen ba 	你問吧	c=1 d=1 t=72
ni xiang 	你想	c=1 d=1 t=278
ni zai na 	你在哪	c=1 d=1 t=384
niang 	娘	c=1 d=1 t=498
niao niao 	尿尿	c=1 d=1 t=500
nong 	弄	c=0 d=0.179453 t=291
nv 	女	c=0 d=0.1 t=524
nv jue se 	女角色	c=1 d=1 t=525
o 	哦	c=1 d=1 t=371
pai 	拍	c=0 d=0.1 t=286
pai yi pai 	拍一拍	c=1 d=1 t=287
pao kai 	拋開	c=1 d=1 t=167
pao qu 	跑去	c=1 d=1 t=390
pei zhi 	配置	c=2 d=1.77105 t=512
peng you 	朋友	c=2 d=1.99005 t=164
pin yin 	拼音	c=1 d=1 t=527
qi shi 	其實	c=2 d=1.9802 t=177
qi yue 	七月	c=2 d=1.96561 t=423
qing jiao 	請教	c=1 d=1 t=93
qu 	去	c=3 d=2.04642 t=450
qu chong 	去重	c=1 d=1 t=4
qu le 	去了	c=1 d=1 t=418
quan 	全	c=1 d=1 t=313
qun 	羣	c=1 d=1 t=29
rang ta 	讓她	c=1 d=1 t=135
ren 	人	c=1 d=1 t=223
ren jia 	人家	c=2 d=1.98511 t=275
rong qi 	容器	c=1 d=1 t=509
sa 	仨	c=1 d=1 t=478
sha gua 	傻瓜	c=1 d=1 t=324
she niu 	社牛	c=1 d=1 t=66
shen me 	什麼	c=2 d=1.98511 t=59
sheng 	生	c=1 d=1 t=355
sheng xiao 	生效	c=1 d=1 t=113
shi 	是	c=7 d=3.85249 t=493
shi ma 	是嘛	c=1 d=1 t=82
shi yong 	使用	c=1 d=1 t=96
shu ru 	輸入	c=1 d=1 t=16
shuang pin 	雙拼	c=1 d=1 t=103
si fu 	私服	c=2 d=1.97045 t=297
suan 	算	c=1 d=1 t=470
suan le 	算了	c=0 d=0.1 t=83
suan le suan le 	算了算了	c=1 d=1 t=84
sui shi 	隨時	c=1 d=1 t=146
sun shi 	損失	c=1 d=1 t=145
suo yi 	所以	c=2 d=1.54881 t=492
ta 	他	c=1 d=1 t=186
ta 	她	c=3 d=1.81889 t=271
ta 	它	c=1 d=1 t=473
ta dou 	他都	c=1 d=1 t=404
tai 	太	c=1 d=1 t=65
tai wan 	太晚	c=1 d=1 t=274
ti le 	踢了	c=1 d=1 t=360
tian jia 	添加	c=1 d=1 t=98
tian jin 	天津	c=0 d=0.1 t=433
ting 	挺	c=1 d=1 t=362
ting duo 	挺多	c=1 d=1 t=175
ting hao de 	挺好的	c=1 d=1 t=257
ting zao 	挺早	c=1 d=1 t=412
tong xin 	通信	c=1 d=1 t=302
tong yang 	同樣	c=1 d=1 t=111
wai jie 	外接	c=1 d=1 t=265
wan 	玩	c=2 d=1.56702 t=357
wan bu xia qu 	玩不下去	c=1 d=1 t=358
wan le 	玩了	c=1 d=1 t=221
wei shen me ne 	爲什麼呢	c=1 d=1 t=74
wei xin 	微信	c=1 d=1 t=513
wei zhi 	位置	c=1 d=1 t=506
wen jian 	文件	c=2 d=1.47951 t=150
wo 	我	c=9 d=4.21837 t=524
wo ba 	我爸	c=1 d=1.00032 t=140
wo ba ma 	我爸媽	c=1 d=1 t=141
wo bu tai 	我不太	c=1 d=1 t=430
wo dao di 	我到底	c=1 d=1 t=188
wo de 	我的	c=2 d=1.45158 t=381
wo dou 	我都	c=1 d=1 t=329
wo dou shi 	我都是	c=1 d=1 t=276
wo hai yi wei 	我還以爲	c=1 d=1 t=25
wo hou bian 	我後邊	c=1 d=1 t=122
wo jia 	我家	c=2 d=1.96561 t=405
wo jue de 	我覺得	c=1 d=1 t=129
wo ke fu 	我課服	c=1 d=1 t=12
wo ke yi 	我可以	c=1 d=1 t=414
wo lia 	我倆	c=1 d=1 t=170
wo nong hao le 	我弄好了	c=1 d=1 t=292
wo qu 	我去	c=2 d=1.56836 t=495
wo wu suo wei 	我無所謂	c=1 d=1 t=54
wo xiang 	我想	c=1 d=1 t=308
wo ye bu qing chu 	我也不清楚	c=1 d=1 t=419
wo yi ge 	我一個	c=1 d=1 t=161
wo you dian 	我有點	c=1 d=1 t=46
wo zhi you 	我只有	c=1 d=1 t=516
wu 	唔	c=2 d=1.96561 t=75
wu fa 	無法	c=1 d=1 t=106
wu lun 	無論	c=1 d=1 t=100
wu xiao 	無效	c=1 d=1 t=108
xi wan 	洗完	c=1 d=1 t=217
xi zao 	洗澡	c=1 d=1 t=209
xia 	下	c=4 d=2.56236 t=388
xia si 	嚇死	c=1 d=1 t=128
xian 	先	c=1 d=1 t=295
xiang 	像	c=1 d=1 t=368
xiang 	想	c=3 d=1.98173 t=482
xiang hui qu 	想回去	c=1 d=1 t=442
xiao 	校	c=1 d=1 t=338
xiao bai shu 	小白鼠	c=1 d=1 t=294
xiao beng 	小崩	c=1 d=1 t=23
xiao xi 	消息	c=1 d=1 t=426
xie wan 	寫完	c=0 d=0.1 t=12
xie wan le 	寫完了	c=1 d=1 t=13
xie xie ni 	謝謝你	c=1 d=1 t=83
xin tai 	心態	c=1 d=1 t=21
xing 	型	c=1 d=1 t=325
xing 	星	c=1 d=1 t=289
xing a 	行啊	c=1 d=1 t=70
xing ba 	行吧	c=1 d=1 t=42
xing biao 	星標	c=1 d=1 t=157
yan hou 	咽喉	c=1 d=1 t=228
yao 	要	c=2 d=1.15183 t=408
yao kan 	要看	c=1 d=1 t=457
ye 	也	c=1 d=1.02466 t=366
ye ke yi 	也可以	c=1 d=1 t=349
ye mei ban fa 	也沒辦法	c=1 d=1 t=87
yi 	一	c=0 d=0.1 t=43
yi hui 	一會	c=1 d=1 t=133
yi jing 	已經	c=0 d=0.1 t=85
yi jing jia le 	已經加了	c=1 d=1 t=86
yi kan 	一看	c=1 d=1 t=282
yi kou 	一口	c=0 d=0.1 t=43
yi kou yi ge 	一口一個	c=1 d=1 t=44
yi pai 	一拍	c=0 d=0.1 t=286
yi qi 	一起	c=1 d=1 t=242
